File,InputClass,Prediction,PredictionStatus,Percentage
airport_26_1_msrgb.jpg,airport,military_facility,Incorrect,0.95312095
airport_45_3_msrgb.jpg,airport,tunnel_opening,Incorrect,0.79383343
airport_55_0_msrgb.jpg,airport,airport,Correct,0.9999093
airport_6_0_msrgb.jpg,airport,impoverished_settlement,Incorrect,0.9927084
airport_hangar_103_2_msrgb.jpg,airport_hangar,waste_disposal,Incorrect,0.5007979
airport_hangar_16_0_msrgb.jpg,airport_hangar,debris_or_rubble,Incorrect,0.9914835
airport_hangar_56_0_msrgb.jpg,airport_hangar,wind_farm,Incorrect,0.86762214
airport_hangar_66_8_msrgb.jpg,airport_hangar,ground_transportation_station,Incorrect,0.6832751
airport_hangar_72_6_msrgb.jpg,airport_hangar,ground_transportation_station,Incorrect,0.3379373
airport_terminal_156_1_msrgb.jpg,airport_terminal,dam,Incorrect,0.9725293
airport_terminal_36_2_msrgb.jpg,airport_terminal,office_building,Incorrect,0.84664035
airport_terminal_3_3_msrgb.jpg,airport_terminal,ground_transportation_station,Incorrect,0.3708806
airport_terminal_44_3_msrgb.jpg,airport_terminal,office_building,Incorrect,0.9374435
airport_terminal_85_0_msrgb.jpg,airport_terminal,airport_hangar,Incorrect,1.0
amusement_park_178_11_msrgb.jpg,amusement_park,waste_disposal,Incorrect,0.20006539
amusement_park_48_1_msrgb.jpg,amusement_park,space_facility,Incorrect,0.9982969
amusement_park_57_6_msrgb.jpg,amusement_park,amusement_park,Correct,0.9977481
amusement_park_85_9_msrgb.jpg,amusement_park,hospital,Incorrect,0.99916315
amusement_park_96_0_msrgb.jpg,amusement_park,fire_station,Incorrect,0.7722154
aquaculture_22_3_msrgb.jpg,aquaculture,recreational_facility,Incorrect,0.45773125
aquaculture_34_2_msrgb.jpg,aquaculture,military_facility,Incorrect,0.69706947
aquaculture_36_4_msrgb.jpg,aquaculture,aquaculture,Correct,0.99963725
aquaculture_45_4_msrgb.jpg,aquaculture,aquaculture,Correct,0.9748701
aquaculture_57_3_msrgb.jpg,aquaculture,aquaculture,Correct,0.9664335
archaeological_site_15_7_msrgb.jpg,archaeological_site,military_facility,Incorrect,0.9797534
archaeological_site_33_4_msrgb.jpg,archaeological_site,ground_transportation_station,Incorrect,0.99361116
archaeological_site_46_5_msrgb.jpg,archaeological_site,dam,Incorrect,0.511787
archaeological_site_71_1_msrgb.jpg,archaeological_site,multi-unit_residential,Incorrect,0.870605
archaeological_site_78_1_msrgb.jpg,archaeological_site,tunnel_opening,Incorrect,0.92898387
barn_12_4_msrgb.jpg,barn,dam,Incorrect,0.5920139
barn_201_3_msrgb.jpg,barn,dam,Incorrect,0.98977727
barn_249_1_msrgb.jpg,barn,debris_or_rubble,Incorrect,0.9623708
barn_278_11_msrgb.jpg,barn,impoverished_settlement,Incorrect,0.82875454
barn_289_4_msrgb.jpg,barn,hospital,Incorrect,0.7969333
border_checkpoint_0_6_msrgb.jpg,border_checkpoint,office_building,Incorrect,0.67118454
border_checkpoint_23_2_msrgb.jpg,border_checkpoint,barn,Incorrect,0.37020946
border_checkpoint_28_1_msrgb.jpg,border_checkpoint,hospital,Incorrect,0.6837898
border_checkpoint_41_5_msrgb.jpg,border_checkpoint,dam,Incorrect,0.8159753
border_checkpoint_5_6_msrgb.jpg,border_checkpoint,office_building,Incorrect,0.30701092
burial_site_13_6_msrgb.jpg,burial_site,debris_or_rubble,Incorrect,0.42967564
burial_site_149_5_msrgb.jpg,burial_site,gas_station,Incorrect,0.56419677
burial_site_17_6_msrgb.jpg,burial_site,single-unit_residential,Incorrect,0.9999838
burial_site_40_1_msrgb.jpg,burial_site,dam,Incorrect,0.98695695
burial_site_88_2_msrgb.jpg,burial_site,recreational_facility,Incorrect,0.99952245
car_dealership_102_1_msrgb.jpg,car_dealership,car_dealership,Correct,0.9064527
car_dealership_36_1_msrgb.jpg,car_dealership,railway_bridge,Incorrect,0.97510296
car_dealership_3_7_msrgb.jpg,car_dealership,road_bridge,Incorrect,0.6844622
car_dealership_40_4_msrgb.jpg,car_dealership,interchange,Incorrect,0.5084094
car_dealership_60_3_msrgb.jpg,car_dealership,ground_transportation_station,Incorrect,0.46437857
construction_site_11_1_msrgb.jpg,construction_site,barn,Incorrect,0.9936686
construction_site_20_3_msrgb.jpg,construction_site,single-unit_residential,Incorrect,0.2777266
construction_site_33_4_msrgb.jpg,construction_site,hospital,Incorrect,0.9667522
construction_site_44_7_msrgb.jpg,construction_site,amusement_park,Incorrect,0.9972851
construction_site_52_5_msrgb.jpg,construction_site,railway_bridge,Incorrect,0.4671567
crop_field_157_6_msrgb.jpg,crop_field,gas_station,Incorrect,0.5239434
crop_field_542_0_msrgb.jpg,crop_field,impoverished_settlement,Incorrect,0.6647282
crop_field_672_0_msrgb.jpg,crop_field,lake_or_pond,Incorrect,0.58364236
crop_field_699_1_msrgb.jpg,crop_field,construction_site,Incorrect,0.99502796
crop_field_7_6_msrgb.jpg,crop_field,lake_or_pond,Incorrect,0.88878894
dam_107_7_msrgb.jpg,dam,tunnel_opening,Incorrect,0.9937186
dam_14_0_msrgb.jpg,dam,crop_field,Incorrect,0.99827313
dam_40_1_msrgb.jpg,dam,lake_or_pond,Incorrect,0.9979371
dam_52_0_msrgb.jpg,dam,lake_or_pond,Incorrect,0.9999436
dam_95_0_msrgb.jpg,dam,multi-unit_residential,Incorrect,0.47019026
debris_or_rubble_10_2_msrgb.jpg,debris_or_rubble,swimming_pool,Incorrect,0.8737093
debris_or_rubble_19_7_msrgb.jpg,debris_or_rubble,oil_or_gas_facility,Incorrect,0.8952968
debris_or_rubble_2_1_msrgb.jpg,debris_or_rubble,debris_or_rubble,Correct,0.99294984
debris_or_rubble_4_2_msrgb.jpg,debris_or_rubble,shopping_mall,Incorrect,0.9945294
debris_or_rubble_7_2_msrgb.jpg,debris_or_rubble,single-unit_residential,Incorrect,0.74809754
educational_institution_112_2_msrgb.jpg,educational_institution,storage_tank,Incorrect,0.9973176
educational_institution_36_2_msrgb.jpg,educational_institution,police_station,Incorrect,0.5819831
educational_institution_62_4_msrgb.jpg,educational_institution,hospital,Incorrect,0.88695496
educational_institution_62_9_msrgb.jpg,educational_institution,shopping_mall,Incorrect,0.47137624
educational_institution_88_2_msrgb.jpg,educational_institution,park,Incorrect,0.3345327
electric_substation_15_3_msrgb.jpg,electric_substation,water_treatment_facility,Incorrect,0.949144
electric_substation_183_0_msrgb.jpg,electric_substation,construction_site,Incorrect,0.9801357
electric_substation_42_3_msrgb.jpg,electric_substation,fire_station,Incorrect,0.52096355
electric_substation_78_5_msrgb.jpg,electric_substation,single-unit_residential,Incorrect,0.6103938
electric_substation_85_0_msrgb.jpg,electric_substation,military_facility,Incorrect,0.6302261
factory_or_powerplant_116_1_msrgb.jpg,factory_or_powerplant,tunnel_opening,Incorrect,0.848826
factory_or_powerplant_14_2_msrgb.jpg,factory_or_powerplant,impoverished_settlement,Incorrect,0.90395176
factory_or_powerplant_18_1_msrgb.jpg,factory_or_powerplant,ground_transportation_station,Incorrect,0.9968497
factory_or_powerplant_53_6_msrgb.jpg,factory_or_powerplant,impoverished_settlement,Incorrect,0.6087225
factory_or_powerplant_56_7_msrgb.jpg,factory_or_powerplant,wind_farm,Incorrect,0.6475777
fire_station_21_5_msrgb.jpg,fire_station,office_building,Incorrect,0.57596093
fire_station_37_7_msrgb.jpg,fire_station,ground_transportation_station,Incorrect,0.8668189
fire_station_49_1_msrgb.jpg,fire_station,single-unit_residential,Incorrect,0.5099089
fire_station_7_9_msrgb.jpg,fire_station,park,Incorrect,0.5454639
fire_station_94_1_msrgb.jpg,fire_station,ground_transportation_station,Incorrect,0.6820295
flooded_road_24_2_msrgb.jpg,flooded_road,railway_bridge,Incorrect,0.8287824
flooded_road_2_2_msrgb.jpg,flooded_road,place_of_worship,Incorrect,0.6942134
flooded_road_30_1_msrgb.jpg,flooded_road,multi-unit_residential,Incorrect,0.78184843
flooded_road_66_1_msrgb.jpg,flooded_road,airport_hangar,Incorrect,0.9808956
flooded_road_69_0_msrgb.jpg,flooded_road,lighthouse,Incorrect,0.99235183
fountain_13_1_msrgb.jpg,fountain,hospital,Incorrect,0.8535668
fountain_17_2_msrgb.jpg,fountain,lake_or_pond,Incorrect,0.7455313
fountain_54_3_msrgb.jpg,fountain,fire_station,Incorrect,0.5257608
fountain_86_11_msrgb.jpg,fountain,fountain,Correct,0.5487787
fountain_93_1_msrgb.jpg,fountain,toll_booth,Incorrect,0.98857284
gas_station_117_1_msrgb.jpg,gas_station,hospital,Incorrect,0.82113785
gas_station_133_0_msrgb.jpg,gas_station,fountain,Incorrect,0.5459684
gas_station_15_2_msrgb.jpg,gas_station,interchange,Incorrect,0.5926695
gas_station_64_5_msrgb.jpg,gas_station,interchange,Incorrect,0.9984079
